Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Double OT,,14849,EURUSD,94,0,94,Double OT,,,,1.3726,1.2411,0,EUR,72,72.07,0,72,78,,0,94,102,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RPV,0
Double OT,,14854,EURUSD,120,0,120,Double OT,,,,1.3357,1.2411,0,EUR,92,91.99,0,92,96,,0,120,125,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RQX,0
Double OT,,14859,EURUSD,125,0,125,Double OT,,,,1.3252,1.2411,0,EUR,96,96.19,0,96,98,,0,125,128,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RRZ,0
Double OT,,14045,EURUSD,27,0,27,Double OT,,,,1.3752,1.2335,0,EUR,21,20.7,0,21,19,,0,27,25,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9QYT,0
Double OT,,14050,EURUSD,64,0,64,Double OT,,,,1.3392,1.2335,0,EUR,49,49.11,0,49,49,,0,64,63,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9QZG,0
Double OT,,14055,EURUSD,100,0,100,Double OT,,,,1.3192,1.2335,0,EUR,77,77.08,0,77,77,,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9R03,0
Double OT,,14060,EURUSD,111,0,111,Double OT,,,,1.3134,1.2335,0,EUR,85,85.35,0,85,85,,0,111,111,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9R0T,0
Double OT,,14245,EURUSD,30,0,30,Double OT,,,,1.3873,1.2235,0,EUR,23,23.24,0,23,22,,0,30,29,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R2R,0
Double OT,,14250,EURUSD,68,0,68,Double OT,,,,1.3454,1.2235,0,EUR,52,52.01,0,52,52,,0,68,67,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R3F,0
Double OT,,14255,EURUSD,102,0,102,Double OT,,,,1.3222,1.2235,0,EUR,79,78.76,0,79,79,,0,102,102,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R42,0
Double OT,,14260,EURUSD,113,0,113,Double OT,,,,1.3155,1.2235,0,EUR,86,86.45,0,86,87,,0,113,113,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R4T,0
Double OT,,14445,EURUSD,28,0,28,Double OT,,,,1.401,1.2123,0,EUR,21,21.13,0,21,19,,0,28,25,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R88,0
Double OT,,14450,EURUSD,64,0,64,Double OT,,,,1.3525,1.2123,0,EUR,49,49.11,0,49,48,,0,64,63,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R8Z,0
Double OT,,14455,EURUSD,100,0,100,Double OT,,,,1.3256,1.2123,0,EUR,77,76.83,0,77,76,,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R9M,0
Double OT,,14460,EURUSD,111,0,111,Double OT,,,,1.318,1.2123,0,EUR,85,85,0,85,85,,0,111,111,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9RB9,0
Double OT,,14645,EURUSD,29,0,29,Double OT,,,,1.412,1.2036,0,EUR,22,21.93,0,22,20,,0,29,26,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RHZ,0
Double OT,,14650,EURUSD,65,0,65,Double OT,,,,1.3581,1.2036,0,EUR,50,50.01,0,50,49,,0,65,64,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RK1,0
Double OT,,14655,EURUSD,101,0,101,Double OT,,,,1.3284,1.2036,0,EUR,77,77.3,0,77,77,,0,101,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RL1,0
Double OT,,14660,EURUSD,111,0,111,Double OT,,,,1.3199,1.2036,0,EUR,85,85.26,0,85,85,,0,111,111,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RM6,0
Double OT,,14845,EURUSD,29,0,29,Double OT,,,,1.4401,1.1824,0,EUR,22,22.13,0,22,20,,0,29,26,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RNX,0
Double OT,,14850,EURUSD,65,0,65,Double OT,,,,1.3726,1.1824,0,EUR,50,49.84,0,50,49,,0,65,64,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RQ1,0
Double OT,,14855,EURUSD,100,0,100,Double OT,,,,1.3357,1.1824,0,EUR,77,76.92,0,77,77,,0,100,100,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RR3,0
Double OT,,14860,EURUSD,110,0,110,Double OT,,,,1.3252,1.1824,0,EUR,85,84.81,0,85,85,,0,110,110,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RS5,0
Double OT,,14141,EURUSD,94,0,94,Double OT,,,,1.3752,1.2971,0,USD,73,,0,73,73,94.46,0,94,95,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9RG4,0
Double OT,,14146,EURUSD,99,0,99,Double OT,,,,1.3392,1.2971,0,USD,76,,0,76,77,99.45,0,99,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9RH1,0
Double OT,,14151,EURUSD,100,0,100,Double OT,,,,1.3192,1.2971,0,USD,77,,0,77,77,100,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9RJ1,0
Double OT,,14156,EURUSD,100,0,100,Double OT,,,,1.3134,1.2971,0,USD,77,,0,77,77,100,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9RK2,0
Double OT,,14341,EURUSD,95,0,95,Double OT,,,,1.3873,1.2966,0,USD,73,,0,73,74,95.08,0,95,96,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9RKS,0
Double OT,,14346,EURUSD,100,0,100,Double OT,,,,1.3454,1.2966,0,USD,77,,0,77,77,99.56,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9RLQ,0
Double OT,,14351,EURUSD,100,0,100,Double OT,,,,1.3222,1.2966,0,USD,77,,0,77,77,100,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9RMQ,0
Double OT,,14356,EURUSD,100,0,100,Double OT,,,,1.3155,1.2966,0,USD,77,,0,77,77,100,0,100,100,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9RNN,0
Double OT,,14541,EURUSD,95,0,95,Double OT,,,,1.401,1.2962,0,USD,73,,0,73,74,94.71,0,95,96,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9RSP,0
Double OT,,14546,EURUSD,99,0,99,Double OT,,,,1.3525,1.2962,0,USD,76,,0,76,77,99.4,0,99,100,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9RTM,0
Double OT,,14551,EURUSD,100,0,100,Double OT,,,,1.3256,1.2962,0,USD,77,,0,77,77,100,0,100,100,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9RVG,0
Double OT,,14556,EURUSD,100,0,100,Double OT,,,,1.318,1.2962,0,USD,77,,0,77,77,100,0,100,100,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9RW7,0
