symbol,epoch,quote
frxUSDJPY,1352341287,79.891
frxUSDJPY,1352341288,79.892
frxUSDJPY,1352341291,79.891
frxUSDJPY,1352341292,79.89
frxUSDJPY,1352341293,79.89
frxUSDJPY,1352341296,79.891
frxUSDJPY,1352341303,79.89
frxUSDJPY,1352341306,79.891
frxUSDJPY,1352341308,79.891
frxUSDJPY,1352341314,79.891
frxUSDJPY,1352341315,79.892
frxUSDJPY,1352341316,79.897
frxUSDJPY,1352341318,79.898
frxUSDJPY,1352341324,79.895
frxUSDJPY,1352341326,79.892
frxUSDJPY,1352341328,79.893
frxUSDJPY,1352341333,79.891
frxUSDJPY,1352341335,79.889
frxUSDJPY,1352341336,79.89
frxUSDJPY,1352341340,79.891
frxUSDJPY,1352341341,79.893
frxUSDJPY,1352341347,79.891
frxUSDJPY,1352341361,79.901
frxUSDJPY,1352341364,79.895
frxUSDJPY,1352341365,79.892
frxUSDJPY,1352341367,79.892
frxUSDJPY,1352341370,79.894
frxUSDJPY,1352341371,79.886
frxUSDJPY,1352341373,79.885
frxUSDJPY,1352341376,79.887
frxUSDJPY,1352341377,79.889
frxUSDJPY,1352341379,79.887
frxUSDJPY,1352341387,79.888
frxUSDJPY,1352341393,79.891
frxUSDJPY,1352341399,79.889
frxUSDJPY,1352341407,79.889
frxUSDJPY,1352341408,79.896
frxUSDJPY,1352341410,79.891
frxUSDJPY,1352341411,79.89
frxUSDJPY,1352341413,79.89
frxUSDJPY,1352341414,79.89
frxUSDJPY,1352341420,79.889
frxUSDJPY,1352341422,79.89
frxUSDJPY,1352341426,79.887
frxUSDJPY,1352341428,79.889
frxUSDJPY,1352341430,79.889
frxUSDJPY,1352341431,79.89
frxUSDJPY,1352341432,79.896
frxUSDJPY,1352341433,79.891
frxUSDJPY,1352341434,79.89
frxUSDJPY,1352341437,79.89
frxUSDJPY,1352341438,79.896
frxUSDJPY,1352341439,79.891
frxUSDJPY,1352341441,79.89
frxUSDJPY,1352341442,79.89
frxUSDJPY,1352341443,79.89
frxUSDJPY,1352341445,79.89
frxUSDJPY,1352341446,79.89
frxUSDJPY,1352341447,79.89
frxUSDJPY,1352341448,79.89
frxUSDJPY,1352341450,79.89
frxUSDJPY,1352341451,79.89
frxUSDJPY,1352341452,79.89
frxUSDJPY,1352341455,79.89
frxUSDJPY,1352341456,79.89
frxUSDJPY,1352341457,79.89
frxUSDJPY,1352341458,79.89
frxUSDJPY,1352341461,79.89
frxUSDJPY,1352341465,79.889
frxUSDJPY,1352341466,79.89
frxUSDJPY,1352341467,79.89
frxUSDJPY,1352341468,79.891
frxUSDJPY,1352341469,79.891
frxUSDJPY,1352341470,79.89
frxUSDJPY,1352341472,79.893
frxUSDJPY,1352341473,79.89
frxUSDJPY,1352341477,79.89
frxUSDJPY,1352341479,79.89
frxUSDJPY,1352341480,79.891
frxUSDJPY,1352341481,79.89
frxUSDJPY,1352341486,79.891
frxUSDJPY,1352341487,79.892
frxUSDJPY,1352341494,79.892
frxUSDJPY,1352341495,79.893
frxUSDJPY,1352341496,79.9
frxUSDJPY,1352341497,79.899
frxUSDJPY,1352341498,79.896
frxUSDJPY,1352341499,79.894
frxUSDJPY,1352341500,79.893
frxUSDJPY,1352341503,79.893
frxUSDJPY,1352341504,79.892
frxUSDJPY,1352341505,79.892
frxUSDJPY,1352341506,79.902
frxUSDJPY,1352341508,79.894
frxUSDJPY,1352341509,79.895
frxUSDJPY,1352341512,79.901
frxUSDJPY,1352341515,79.895
frxUSDJPY,1352341516,79.895
frxUSDJPY,1352341517,79.894
frxUSDJPY,1352341518,79.899
frxUSDJPY,1352341528,79.892
frxUSDJPY,1352341532,79.897
frxUSDJPY,1352341533,79.9
frxUSDJPY,1352341535,79.906
frxUSDJPY,1352341539,79.899
frxUSDJPY,1352341540,79.897
frxUSDJPY,1352341541,79.895
frxUSDJPY,1352341542,79.901
frxUSDJPY,1352341545,79.897
frxUSDJPY,1352341550,79.897
frxUSDJPY,1352341551,79.896
frxUSDJPY,1352341552,79.898
frxUSDJPY,1352341554,79.896
frxUSDJPY,1352341555,79.896
frxUSDJPY,1352341556,79.897
frxUSDJPY,1352341557,79.898
frxUSDJPY,1352341558,79.897
frxUSDJPY,1352341559,79.901
frxUSDJPY,1352341560,79.898
frxUSDJPY,1352341562,79.897
frxUSDJPY,1352341564,79.897
frxUSDJPY,1352341565,79.898
frxUSDJPY,1352341566,79.899
frxUSDJPY,1352341568,79.899
frxUSDJPY,1352341569,79.9
frxUSDJPY,1352341570,79.9
frxUSDJPY,1352341571,79.9
frxUSDJPY,1352341573,79.899
frxUSDJPY,1352341575,79.899
frxUSDJPY,1352341576,79.9
frxUSDJPY,1352341582,79.9
frxUSDJPY,1352341587,79.907
frxUSDJPY,1352341589,79.901
frxUSDJPY,1352341590,79.901
frxUSDJPY,1352341592,79.9
frxUSDJPY,1352341593,79.899
frxUSDJPY,1352341595,79.912
