DATE,26-Nov-13,,,,,,,,,,,,,,,,,,,,,
TIME,02:28 GMT,,,,,,,,,,,,,,,,,,,,,
FILE,SD_SX5E2,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,SX5E,,,,,,,,,,,,,,,,,,,,,
SPOT,3072.75,,,,,,,,,,,,,,,,,,,,,
CURRENCY,USD,,,,,,,,,,,,,,,,,,,,,
SABR PARAMETERS,,,,,5-Nov,21-Nov,-21,-5,,,,,,,,,,,,,,
atmvolshort,0.1165,,,,17-Nov,14-Jan,-9,49,,,,,,,,,,,,,,
atmvol1year,0.17787,,,,17-Jan,13-Feb,52,79,,,,,,,,,,,,,,
atmvolLong,0.20767,,,,14-Feb,15-Apr,80,140,,,,,,,,,,,,,,
atmWingL,0.5507,,,,21-Apr,24-Jun,146,210,,,,,,,,,,,,,,
atmWingR,3.27631,,,,25-Jun,25-Jul,211,241,,,,,,,,,,,,,,
skewshort,-0.02096,,,,5-May,8-Jul,160,224,,,,,,,,,,,,,,
skew1year,-0.18829,,,,,,,,,,,,,,,,,,,,,
skewlong,-0.19126,,,,,,,,,,,,,,,,,,,,,
skewwingL,19.97639,,,,,,,,,,,,,,,,,,,,,
skewwingR,3.01558,,,,,,,,,,,,,,,,,,,,,
kurtosisshort,0.35972,,,,,,,,,,,,,,,,,,,,,
kurtosislong,0.3383,,,,,,,,,,,,,,,,,,,,,
kurtosisgrowth,4.85351,,,,,,,,,,,,,,,,,,,,,
END SABR PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
16-Dec-13,2.1871,,,,,,,,,,,,,,,,,,,,,
9-Jan-14,0,,,,,,,,,,,,,,,,,,,,,
10-Jan-14,2.2139,,,,,,,,,,,,,,,,,,,,,
24-Jan-14,3.7993,,,,,,,,,,,,,,,,,,,,,
6-Feb-14,0.5782,,,,,,,,,,,,,,,,,,,,,
6-Mar-14,0.1,,,,,,,,,,,,,,,,,,,,,
18-Mar-14,0.4652,,,,,,,,,,,,,,,,,,,,,
11-Apr-14,4.0623,,,,,,,,,,,,,,,,,,,,,
17-Apr-14,0.9576,,,,,,,,,,,,,,,,,,,,,
22-Apr-14,1.0395,,,,,,,,,,,,,,,,,,,,,
23-Apr-14,0,,,,,,,,,,,,,,,,,,,,,
25-Apr-14,1.5769,,,,,,,,,,,,,,,,,,,,,
28-Apr-14,3.6721,,,,,,,,,,,,,,,,,,,,,
29-Apr-14,7.5189,,,,,,,,,,,,,,,,,,,,,
2-May-14,4.8946,,,,,,,,,,,,,,,,,,,,,
5-May-14,1.6445,,,,,,,,,,,,,,,,,,,,,
6-May-14,2.4034,,,,,,,,,,,,,,,,,,,,,
7-May-14,2.5837,,,,,,,,,,,,,,,,,,,,,
8-May-14,5.1755,,,,,,,,,,,,,,,,,,,,,
9-May-14,9.5266,,,,,,,,,,,,,,,,,,,,,
12-May-14,0.0949,,,,,,,,,,,,,,,,,,,,,
14-May-14,2.0085,,,,,,,,,,,,,,,,,,,,,
15-May-14,1.5783,,,,,,,,,,,,,,,,,,,,,
16-May-14,1.5319,,,,,,,,,,,,,,,,,,,,,
19-May-14,2.771,,,,,,,,,,,,,,,,,,,,,
20-May-14,5.8174,,,,,,,,,,,,,,,,,,,,,
21-May-14,4.7239,,,,,,,,,,,,,,,,,,,,,
23-May-14,0.0945,,,,,,,,,,,,,,,,,,,,,
26-May-14,1.3941,,,,,,,,,,,,,,,,,,,,,
29-May-14,1.2997,,,,,,,,,,,,,,,,,,,,,
30-May-14,0.4218,,,,,,,,,,,,,,,,,,,,,
2-Jun-14,1.1349,,,,,,,,,,,,,,,,,,,,,
5-Jun-14,1.8393,,,,,,,,,,,,,,,,,,,,,
12-Jun-14,1.0598,,,,,,,,,,,,,,,,,,,,,
24-Jun-14,1.5825,,,,,,,,,,,,,,,,,,,,,
3-Jul-14,0.3994,,,,,,,,,,,,,,,,,,,,,
10-Jul-14,0.9146,,,,,,,,,,,,,,,,,,,,,
7-Aug-14,0.4608,,,,,,,,,,,,,,,,,,,,,
20-Aug-14,0.0524,,,,,,,,,,,,,,,,,,,,,
28-Aug-14,0.1477,,,,,,,,,,,,,,,,,,,,,
8-Sep-14,1.049,,,,,,,,,,,,,,,,,,,,,
23-Sep-14,2.2954,,,,,,,,,,,,,,,,,,,,,
24-Sep-14,2.3277,,,,,,,,,,,,,,,,,,,,,
3-Nov-14,0.4104,,,,,,,,,,,,,,,,,,,,,
6-Nov-14,4.9774,,,,,,,,,,,,,,,,,,,,,
7-Nov-14,0,,,,,,,,,,,,,,,,,,,,,
10-Nov-14,0,,,,,,,,,,,,,,,,,,,,,
12-Nov-14,0.4876,,,,,,,,,,,,,,,,,,,,,
17-Nov-14,1.6874,,,,,,,,,,,,,,,,,,,,,
19-Nov-14,0.0771,,,,,,,,,,,,,,,,,,,,,
1-Dec-14,1.0238,,,,,,,,,,,,,,,,,,,,,
17-Dec-14,2.2652,,,,,,,,,,,,,,,,,,,,,
9-Jan-15,0,,,,,,,,,,,,,,,,,,,,,
12-Jan-15,1.4464,,,,,,,,,,,,,,,,,,,,,
26-Jan-15,4.5145,,,,,,,,,,,,,,,,,,,,,
6-Feb-15,0.687,,,,,,,,,,,,,,,,,,,,,
6-Mar-15,0.5786,,,,,,,,,,,,,,,,,,,,,
18-Mar-15,2.3914,,,,,,,,,,,,,,,,,,,,,
13-Apr-15,3.8227,,,,,,,,,,,,,,,,,,,,,
20-Apr-15,0.8508,,,,,,,,,,,,,,,,,,,,,
22-Apr-15,1.2023,,,,,,,,,,,,,,,,,,,,,
23-Apr-15,0,,,,,,,,,,,,,,,,,,,,,
27-Apr-15,4.84,,,,,,,,,,,,,,,,,,,,,
29-Apr-15,7.0764,,,,,,,,,,,,,,,,,,,,,
4-May-15,6.1536,,,,,,,,,,,,,,,,,,,,,
6-May-15,2.0738,,,,,,,,,,,,,,,,,,,,,
7-May-15,2.4318,,,,,,,,,,,,,,,,,,,,,
8-May-15,4.6538,,,,,,,,,,,,,,,,,,,,,
END DIVIDENDS,,,,,,,,,,,,,,,,,,,,,,
ONETOUCH PAYOUT USD,,,,,,,,,,,,,,,,,,,,,,
Strike %,Expiry,Strike,ID ,mini,,,,,,,,,,,,,,,,,,
110,12/16/2013,0.291599431,SX5E2 2,0,,,,,,,,,,,,,,,,,,
109,12/16/2013,0.5457968525,SX5E2 3,0,,,,,,,,,,,,,,,,,,
110,12/23/2013,0.6984761862,SX5E2 4,0,,,,,,,,,,,,,,,,,,
108,12/16/2013,1.0466307154,SX5E2 5,0,,,,,,,,,,,,,,,,,,
109,12/23/2013,1.2329027873,SX5E2 6,0,,,,,,,,,,,,,,,,,,
110,12/30/2013,1.3431188378,SX5E2 7,0,,,,,,,,,,,,,,,,,,
107,12/16/2013,2.0513663428,SX5E2 8,0,,,,,,,,,,,,,,,,,,
108,12/23/2013,2.2113976027,SX5E2 9,0,,,,,,,,,,,,,,,,,,
110,01/06/2014,2.2307377047,SX5E2 10,0,,,,,,,,,,,,,,,,,,
109,12/30/2013,2.2620896412,SX5E2 11,0,,,,,,,,,,,,,,,,,,
110,01/13/2014,3.3170288523,SX5E2 12,0,,,,,,,,,,,,,,,,,,
109,01/06/2014,3.6077943286,SX5E2 13,0,,,,,,,,,,,,,,,,,,
108,12/30/2013,3.8399387615,SX5E2 14,0,,,,,,,,,,,,,,,,,,
107,12/23/2013,4.0065266043,SX5E2 15,0,,,,,,,,,,,,,,,,,,
106,12/16/2013,4.0771682596,SX5E2 16,0,,,,,,,,,,,,,,,,,,
110,01/21/2014,4.8338254081,SX5E2 17,0,,,,,,,,,,,,,,,,,,
109,01/13/2014,5.1751962182,SX5E2 18,0,,,,,,,,,,,,,,,,,,
108,01/06/2014,5.8404242764,SX5E2 19,0,,,,,,,,,,,,,,,,,,
110,01/28/2014,6.2750208519,SX5E2 20,0,,,,,,,,,,,,,,,,,,
