,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
19-Oct-15,1.2586,,,,,,,,,,,,,,,,,,,,,
26-Oct-15,1.9983,,,,,,,,,,,,,,,,,,,,,
2-Nov-15,0.367,,,,,,,,,,,,,,,,,,,,,
9-Nov-15,6.9174,,,,,,,,,,,,,,,,,,,,,
16-Nov-15,11.0858,,,,,,,,,,,,,,,,,,,,,
23-Nov-15,10.4086,,,,,,,,,,,,,,,,,,,,,
30-Nov-15,1.6063,,,,,,,,,,,,,,,,,,,,,
7-Dec-15,1.5118,,,,,,,,,,,,,,,,,,,,,
21-Dec-15,0.3574,,,,,,,,,,,,,,,,,,,,,
24-Dec-15,1.102,,,,,,,,,,,,,,,,,,,,,
29-Dec-15,0.5515,,,,,,,,,,,,,,,,,,,,,
18-Jan-16,3.8302,,,,,,,,,,,,,,,,,,,,,
25-Jan-16,2.353,,,,,,,,,,,,,,,,,,,,,
8-Feb-16,0.9794,,,,,,,,,,,,,,,,,,,,,
15-Feb-16,18.8815,,,,,,,,,,,,,,,,,,,,,
22-Feb-16,9.2178,,,,,,,,,,,,,,,,,,,,,
29-Feb-16,0.2309,,,,,,,,,,,,,,,,,,,,,
7-Mar-16,6.8455,,,,,,,,,,,,,,,,,,,,,
14-Mar-16,16.5308,,,,,,,,,,,,,,,,,,,,,
21-Mar-16,3.039,,,,,,,,,,,,,,,,,,,,,
29-Mar-16,3.4102,,,,,,,,,,,,,,,,,,,,,
4-Apr-16,2.5085,,,,,,,,,,,,,,,,,,,,,
11-Apr-16,0.6056,,,,,,,,,,,,,,,,,,,,,
18-Apr-16,5.7614,,,,,,,,,,,,,,,,,,,,,
25-Apr-16,8.4242,,,,,,,,,,,,,,,,,,,,,
3-May-16,3.2002,,,,,,,,,,,,,,,,,,,,,
9-May-16,10.0406,,,,,,,,,,,,,,,,,,,,,
16-May-16,14.7803,,,,,,,,,,,,,,,,,,,,,
23-May-16,2.1966,,,,,,,,,,,,,,,,,,,,,
31-May-16,3.2325,,,,,,,,,,,,,,,,,,,,,
6-Jun-16,0.1386,,,,,,,,,,,,,,,,,,,,,
13-Jun-16,8.6534,,,,,,,,,,,,,,,,,,,,,
END DIVIDENDS,,,,,,,,,,,,,,,,,,,,,,
EXPIRYRANGE PAYOUT GBP,,,,,,,,,,,,,,,,,,,,,,
Low Trigger %,Expiry ,High Trigger %,Price,ID,mini,,,,,,,,,,,,,,,,,
81,4/28/2014,101,49.14295381,FTSE 5508,0,,,,,,,,,,,,,,,,,
81,4/28/2014,103,59.63175219,FTSE 5864,0,,,,,,,,,,,,,,,,,
81,4/28/2014,105,69.32914577,FTSE 6192,1,,,,,,,,,,,,,,,,,
81,4/28/2014,107,77.24494144,FTSE 6496,0,,,,,,,,,,,,,,,,,
81,4/28/2014,109,83.01050454,FTSE 6720,0,,,,,,,,,,,,,,,,,
81,4/28/2014,111,86.93635341,FTSE 6874,0,,,,,,,,,,,,,,,,,
81,4/28/2014,113,89.51046849,FTSE 6954,0,,,,,,,,,,,,,,,,,
81,4/28/2014,115,91.1454901,FTSE 6986,0,,,,,,,,,,,,,,,,,
81,4/28/2014,117,92.16271429,FTSE 6996,0,,,,,,,,,,,,,,,,,
81,4/28/2014,119,92.79480545,FTSE 7000,0,,,,,,,,,,,,,,,,,
81,5/12/2014,101,48.63574528,FTSE 5494,1,,,,,,,,,,,,,,,,,
81,5/12/2014,103,58.67893568,FTSE 5826,0,,,,,,,,,,,,,,,,,
81,5/12/2014,105,68.00933657,FTSE 6154,0,,,,,,,,,,,,,,,,,
81,5/12/2014,107,75.73817928,FTSE 6438,0,,,,,,,,,,,,,,,,,
81,5/12/2014,109,81.49908941,FTSE 6664,0,,,,,,,,,,,,,,,,,
81,5/12/2014,111,85.5268651,FTSE 6820,0,,,,,,,,,,,,,,,,,
81,5/12/2014,113,88.23547317,FTSE 6914,0,,,,,,,,,,,,,,,,,
81,5/12/2014,115,89.99804387,FTSE 6966,0,,,,,,,,,,,,,,,,,
81,5/12/2014,117,91.11643517,FTSE 6984,0,,,,,,,,,,,,,,,,,
81,5/12/2014,119,91.82189806,FTSE 6994,0,,,,,,,,,,,,,,,,,
81,5/19/2014,101,48.74498283,FTSE 5500,0,,,,,,,,,,,,,,,,,
81,5/19/2014,103,58.5320839,FTSE 5820,0,,,,,,,,,,,,,,,,,
81,5/19/2014,105,67.61809148,FTSE 6132,0,,,,,,,,,,,,,,,,,
81,5/19/2014,107,75.16498883,FTSE 6414,0,,,,,,,,,,,,,,,,,
81,5/19/2014,109,80.82441787,FTSE 6632,0,,,,,,,,,,,,,,,,,
81,5/19/2014,111,84.8220237,FTSE 6792,0,,,,,,,,,,,,,,,,,
81,5/19/2014,113,87.55344207,FTSE 6892,0,,,,,,,,,,,,,,,,,
81,5/19/2014,115,89.35990599,FTSE 6948,1,,,,,,,,,,,,,,,,,
81,5/19/2014,117,90.52057438,FTSE 6974,0,,,,,,,,,,,,,,,,,
81,5/19/2014,119,91.25925452,FTSE 6988,0,,,,,,,,,,,,,,,,,
81,5/27/2014,101,48.24415521,FTSE 5482,0,,,,,,,,,,,,,,,,,
81,5/27/2014,103,57.79233547,FTSE 5794,0,,,,,,,,,,,,,,,,,
