Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.53,,16,19-Dec-11,19-Dec-11,0.11,-28.98,0.12329,-0.00474,0.00431,0.001,0,0,0.0825,0.1375,GBPAUD_79,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.535,,16,19-Dec-11,19-Dec-11,0.20625,-28.86,-1.4045,-0.01214,0.01093,0.00229,0,0,0.1775,0.235,GBPAUD_80,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.54,,16,19-Dec-11,19-Dec-11,0.29625,-28.26,-2.8499,-0.01917,0.01713,0.00328,0,0,0.2675,0.325,GBPAUD_81,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.545,,16,19-Dec-11,19-Dec-11,0.38375,-27.21,-4.1473,-0.02549,0.02258,0.00397,0,0,0.355,0.4125,GBPAUD_82,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.55,,16,19-Dec-11,19-Dec-11,0.46625,-25.77,-5.2439,-0.03081,0.02706,0.00439,0,0,0.4375,0.495,GBPAUD_83,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.555,,16,19-Dec-11,19-Dec-11,0.5425,-24.02,-6.1026,-0.03492,0.03039,0.00457,0,0,0.5125,0.5725,GBPAUD_84,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.56,,16,19-Dec-11,19-Dec-11,0.61125,-22.03,-6.7036,-0.03773,0.03251,0.00455,0,0,0.5825,0.64,GBPAUD_85,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.565,,16,19-Dec-11,19-Dec-11,0.67125,-19.89,-7.0445,-0.0392,0.03342,0.00437,0,0,0.6425,0.7,GBPAUD_86,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.57,,16,19-Dec-11,19-Dec-11,0.71625,-17.68,-7.1387,-0.03941,0.03322,0.00408,0,0,0.6875,0.745,GBPAUD_87,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.575,,16,19-Dec-11,19-Dec-11,0.76375,-15.48,-7.0124,-0.03849,0.03206,0.00369,0,0,0.735,0.7925,GBPAUD_88,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.52,1.53,16,19-Dec-11,19-Dec-11,0.0009,-0.00001,0,0,0,0,0,0,0,0.0018,GBPAUD_89,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.515,1.532,16,19-Dec-11,19-Dec-11,0.0009,0,0,0,0,0,0,0,0,0.0018,GBPAUD_90,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.51,1.534,16,19-Dec-11,19-Dec-11,0.0009,-0.00034,-0.00089,0,0,0,0,0,0,0.0018,GBPAUD_91,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.505,1.536,16,19-Dec-11,19-Dec-11,0.00895,-0.04962,-0.09763,-0.00053,0.00069,0,0,0,0.0004,0.0175,GBPAUD_92,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.5,1.538,16,19-Dec-11,19-Dec-11,0.0375,-0.55861,-0.87319,-0.00478,0.00515,0.00002,0,0,0.005,0.07,GBPAUD_93,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.495,1.54,16,19-Dec-11,19-Dec-11,0.08875,-2.1116,-2.7257,-0.01499,0.01457,0.0001,0,0,0.055,0.1225,GBPAUD_94,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.49,1.542,16,19-Dec-11,19-Dec-11,0.14625,-4.6591,-5.1024,-0.02814,0.02575,0.00027,0,0,0.1125,0.18,GBPAUD_95,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.485,1.544,16,19-Dec-11,19-Dec-11,0.2,-7.6612,-7.2616,-0.04016,0.03534,0.00057,0,0,0.165,0.235,GBPAUD_96,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.48,1.546,16,19-Dec-11,19-Dec-11,0.25375,-10.6,-8.8303,-0.04893,0.04196,0.00096,0,0,0.2175,0.29,GBPAUD_97,0
