Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.9,,,2,03-Dec-11,03-Dec-11,0.98625,0.021,-0.10482,-0.00006,-0.00002,0,0,0,0.9725,1,GBPJPY_91,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118,,,2,03-Dec-11,03-Dec-11,0.98495,0.03191,-0.15491,-0.00009,0,0,0,0,0.97,0.9999,GBPJPY_92,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.1,,,2,03-Dec-11,03-Dec-11,0.98245,0.04791,-0.22606,-0.00013,0.00004,0,0,0,0.965,0.9999,GBPJPY_93,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.2,,,2,03-Dec-11,03-Dec-11,0.97995,0.07108,-0.32574,-0.00019,0.00008,0,0,0,0.96,0.9999,GBPJPY_94,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.3,,,2,03-Dec-11,03-Dec-11,0.97865,0.10421,-0.46347,-0.00027,0.00015,0,0,0,0.9575,0.9998,GBPJPY_95,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.4,,,2,03-Dec-11,03-Dec-11,0.9761,0.15101,-0.6511,-0.00038,0.00025,0,0,0,0.9525,0.9997,GBPJPY_96,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.5,,,2,03-Dec-11,03-Dec-11,0.9735,0.21625,-0.90312,-0.00053,0.0004,0,0,0,0.9475,0.9995,GBPJPY_97,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.6,,,2,03-Dec-11,03-Dec-11,0.9709,0.30608,-1.2368,-0.00072,0.0006,0,0,0,0.9425,0.9993,GBPJPY_98,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.7,,,2,03-Dec-11,03-Dec-11,0.967,0.42818,-1.6722,-0.00098,0.00089,0,0,0,0.935,0.999,GBPJPY_99,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.8,,,2,03-Dec-11,03-Dec-11,0.9643,0.59203,-2.232,-0.0013,0.00129,0,0,0,0.93,0.9986,GBPJPY_100,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.9,,,2,03-Dec-11,03-Dec-11,0.9603,0.8091,-2.9411,-0.00172,0.00184,0,0,0,0.9225,0.9981,GBPJPY_101,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119,,,2,03-Dec-11,03-Dec-11,0.9574,1.093,-3.8254,-0.00223,0.00258,0,0,0,0.9175,0.9973,GBPJPY_102,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.1,,,2,03-Dec-11,03-Dec-11,0.9544,1.4595,-4.9112,-0.00287,0.00356,0,0,0,0.9125,0.9963,GBPJPY_103,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.2,,,2,03-Dec-11,03-Dec-11,0.95125,1.9264,-6.2228,-0.00363,0.00485,0,0,0,0.9075,0.995,GBPJPY_104,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.3,,,2,03-Dec-11,03-Dec-11,0.9475,2.5137,-7.7809,-0.00454,0.00652,0,0,0,0.9025,0.9925,GBPJPY_105,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.4,,,2,03-Dec-11,03-Dec-11,0.94375,3.2423,-9.6001,-0.00561,0.00864,0,0,0,0.8975,0.99,GBPJPY_106,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.5,,,2,03-Dec-11,03-Dec-11,0.93875,4.1346,-11.69,-0.00682,0.0113,0,0,0,0.89,0.9875,GBPJPY_107,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.6,,,2,03-Dec-11,03-Dec-11,0.93,5.2123,-14.03,-0.00819,0.01456,0,0,0,0.88,0.98,GBPJPY_108,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.7,,,2,03-Dec-11,03-Dec-11,0.92875,6.4963,-16.62,-0.0097,0.0185,0,0,0,0.8775,0.98,GBPJPY_109,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.8,,,2,03-Dec-11,03-Dec-11,0.90875,8.0049,-19.4,-0.01133,0.02315,0,0,0,0.84,0.9775,GBPJPY_110,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.9,,,2,03-Dec-11,03-Dec-11,0.91,9.7523,-22.33,-0.01304,0.02852,0,0,0,0.8425,0.9775,GBPJPY_111,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120,,,2,03-Dec-11,03-Dec-11,0.9075,11.75,-25.32,-0.01479,0.03458,0,0,0,0.84,0.975,GBPJPY_112,0
