Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.876,0.937,1,03-Dec-11,03-Dec-11,0.97045,-0.77107,-3.3237,-0.00127,-0.02439,0,0,0,0.9425,0.9984,USDCHF_106,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.911,0.919,1,03-Dec-11,03-Dec-11,0.87,3.7113,50.15,0.01921,0.03758,0,0,0,0.785,0.955,USDCHF_107,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.909,0.92,1,03-Dec-11,03-Dec-11,0.7225,17.59,132.15,0.05061,0.16247,0,0,0,0.6175,0.8275,USDCHF_108,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.907,0.921,1,03-Dec-11,03-Dec-11,0.55875,31.24,161.45,0.06183,0.25921,0,0,0,0.445,0.6725,USDCHF_109,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.905,0.922,1,03-Dec-11,03-Dec-11,0.4075,39.4,155.12,0.05941,0.29069,0,0,0,0.2925,0.5225,USDCHF_110,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.903,0.923,1,03-Dec-11,03-Dec-11,0.295,42.31,136.03,0.05209,0.28181,0,0,0,0.185,0.405,USDCHF_111,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.901,0.924,1,03-Dec-11,03-Dec-11,0.215,41.09,114.73,0.04394,0.2556,0,0,0,0.1125,0.3175,USDCHF_112,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.899,0.925,1,03-Dec-11,03-Dec-11,0.15625,37.06,95.27,0.03648,0.22452,0,0,0,0.0625,0.25,USDCHF_113,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.897,0.926,1,03-Dec-11,03-Dec-11,0.12875,31.56,78.7,0.03014,0.19427,0,0,0,0.045,0.2125,USDCHF_114,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.895,0.927,1,03-Dec-11,03-Dec-11,0.11,25.7,64.75,0.0248,0.16698,0,0,0,0.035,0.185,USDCHF_115,0
02-Dec-11,USDCHF,USD,CHF,DOT,,0.91565,,0.893,0.928,1,03-Dec-11,03-Dec-11,0.09625,20.19,52.82,0.02023,0.14302,0,0,0,0.0275,0.165,USDCHF_116,0
